TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.01
short,serial,25,0.01
short,serial,50,0.02
short,serial,100,0.03
short,serial,200,0.05
short,serial,500,0.11
short,parallel,10,0.12
short,parallel,25,0.26
short,parallel,50,0.48
short,parallel,100,0.97
short,parallel,200,1.98
short,parallel,500,5.56
long,serial,10,0.02
long,serial,25,0.03
long,serial,50,0.06
long,serial,100,0.11
long,serial,200,0.20
long,serial,500,0.46
long,parallel,10,0.12
long,parallel,25,0.26
long,parallel,50,0.49
long,parallel,100,1.01
long,parallel,200,1.92
long,parallel,500,5.45
